caption,id,video_path
A horse poops on a woman.,xBePrplM4OA_6_18.avi,./feature_dirs_training\xBePrplM4OA_6_18.avi.npy
A man is slicing butter.,IBgsLmDcL78_80_84.avi,./feature_dirs_training\IBgsLmDcL78_80_84.avi.npy
An animal is eating.,WqQonRVs7WA_0_10.avi,./feature_dirs_training\WqQonRVs7WA_0_10.avi.npy
Someone is seasoning eggs.,F2Ny7rq9RKs_139_148.avi,./feature_dirs_training\F2Ny7rq9RKs_139_148.avi.npy
A camera is burning.,D1tTBncIsm8_841_848.avi,./feature_dirs_training\D1tTBncIsm8_841_848.avi.npy
The clouds are moving.,Z19zFlPah-o_6_11.avi,./feature_dirs_training\Z19zFlPah-o_6_11.avi.npy
A man is talking.,drsPD5fI1IA_170_180.avi,./feature_dirs_training\drsPD5fI1IA_170_180.avi.npy
A woman peels an apple.,6t0BpjwYKco_71_76.avi,./feature_dirs_training\6t0BpjwYKco_71_76.avi.npy
A man stretches.,Hu9Sq1RvuoA_19_62.avi,./feature_dirs_training\Hu9Sq1RvuoA_19_62.avi.npy
A man does push-ups.,hcCLIzzB1jQ_1_7.avi,./feature_dirs_training\hcCLIzzB1jQ_1_7.avi.npy
A man is adding water to pan.,UXs3eq68ZjE_246_250.avi,./feature_dirs_training\UXs3eq68ZjE_246_250.avi.npy
A bird dials the phone.,Ce7equ9zCxk_4_19.avi,./feature_dirs_training\Ce7equ9zCxk_4_19.avi.npy
A dog is opening a fridge.,IWhrWLOAin0_1_4.avi,./feature_dirs_training\IWhrWLOAin0_1_4.avi.npy
A man erases a chalkboard.,HVR7KpItLfA_62_70.avi,./feature_dirs_training\HVR7KpItLfA_62_70.avi.npy
Pandas are playing.,r2oI9Y-3wAo_21_28.avi,./feature_dirs_training\r2oI9Y-3wAo_21_28.avi.npy
A girl is singing.,E61HNXjgyqA_22_32.avi,./feature_dirs_training\E61HNXjgyqA_22_32.avi.npy
